stop_id,stop_name,stop_lat,stop_lon,location_type,parent_station,wheelchair_boarding
"1081","DEPRETIS - LOGGIA DEI PISANI","40.8423735324993","14.254780575093","0","",""
"1082","GRIMALDI - PALAZZO DI GIUSTIZIA","40.8612822269603","14.2832534643781","0","",""
"1083","DEPRETIS - SAN MARCO","40.8402147411892","14.2537245225919","0","",""
"1084","DE ROBERTO","40.8655056510807","14.3065930364879","0","",""
"1085","DE ROBERTO","40.8650457671491","14.3050196531163","0","",""
"1086","DE ROBERTO","40.8652327841915","14.3046617164954","0","",""
"1088","DE ROBERTO","40.8645605112757","14.3014886791102","0","",""
"1089","DE MARCO","40.8667207499096","14.2642591735114","0","",""
"1090","DE ROBERTO","40.86479781456","14.30125479928","0","",""
"1091","DE PINEDO - DI VITTORIO","40.8827364758489","14.2726264485163","0","",""
"1092","GALILEO FERRARIS -  BRIN","40.8496288904636","14.2845573590704","0","",""
"1093","BRIGANTI","40.8680721607724","14.2701793012982","0","",""
"1094","DE PINEDO","40.8849842161921","14.2748710497596","0","",""
"1095","ARENACCIA","40.8576160128868","14.2710604982809","0","",""
"1096","BOLVITO ","40.8894940321065","14.2765515575427","0","",""
"1097","PIAZZA QUATTRO APRILE - ASL","40.8921934358539","14.2838696431452","0","",""
"1098","NUOVA DEL CAMPO - CIMITERO DEL PIANTO","40.8690641786447","14.2837836597391","0","",""
"1099","NUOVA DEL CAMPO","40.868069576808","14.2817414637116","0","",""
"1100","DON BOSCO - CARLO III","40.8635767199957","14.2677765636815","0","",""
"1101","DON BOSCO - SALESIANI","40.8676740310719","14.273243408112","0","",""
"1102","NUOVA DEL CAMPO ","40.869245830447","14.2775219879234","0","",""
"1103","NUOVA DEL CAMPO - DE GIAXA","40.8689584331002","14.2791004168681","0","",""
"1104","NUOVA DEL CAMPO","40.8679579043318","14.2818910019901","0","",""
"1105","DON BOSCO - PROVINCIA","40.8661886264417","14.2712542586506","0","",""
"1106","NUOVA DEL CAMPO - CIMITERO PIANTO","40.8690573071736","14.284127868802","0","",""
"1107","DON BOSCO - SALESIANI","40.8676719372483","14.2729111697497","0","",""
"1109","DON BOSCO - CARLO III","40.8639383818579","14.2679861648134","0","",""
"1110","NUOVA DEL CAMPO - DE GIAXA","40.8691481318576","14.279184393312","0","",""
"1111","NUOVA DEL CAMPO ","40.8689834963842","14.2759109669296","0","",""
"1112","NUOVA DEL CAMPO ","40.8688079400085","14.2759277127169","0","",""
"1113","DON BOSCO - PROVINCIA","40.8666267722226","14.2714511822321","0","",""
"1115","PROFUMO","40.8667541053033","14.2638903080633","0","",""
"1117","CARAMANICO","40.8627983365807","14.2900025693324","0","",""
"1118","CARAMANICO","40.8644561243317","14.2886662539988","0","",""
"1119","PIAZZA GARIBALDI","40.8528884021643","14.2710833101249","0","",""
"1121","COLOMBO-PORTO (CAPOLINEA LINEA 1-4)","40.8397379728996","14.2553732704754","0","",""
"1122","STADERA - PONTE FS","40.8692134795868","14.2975142601802","0","",""
"1123","COLOMBO - BEVERELLO","40.8396985377992","14.25562174563","0","",""
"1124","COLOMBO-DE GASPERI","40.8416558214187","14.2569529274561","0","",""
"1125","GARIBALDI - ATTESTAMENTO","40.8529983870462","14.2713912009977","0","",""
"1126","NUOVA POGGIOREALE","40.8663901114516","14.2905552116773","0","",""
"1127","MALTA - ZARA","40.8611271314447","14.2764474160788","0","",""
"1128","SALOMONE","40.873161570236","14.2855780514135","0","",""
"1129","DE MARCO","40.8692188823801","14.2638236882679","0","",""
"1130","COSTANTINOPOLI","40.8524796227172","14.251707276164","0","",""
"1131","GARIBALDI","40.8526649298566","14.2690492527928","0","",""
"1132","GALILEO FERRARIS - CIRCUMVESUVIANA E.A.V.","40.8505835530334","14.2736822802945","0","",""
"1133","GALILEO FERRARIS - CIRCUMVESUVIANA E.A.V.","40.850419204787","14.275481379318","0","",""
"1134","GALILEO FERRARIS - AUTOSTRADA","40.8500969658833","14.2786850249667","0","",""
"1135","GALILEO FERRARIS ","40.8498520904348","14.2791414515918","0","",""
"1136","NOVARA","40.8565220770124","14.2709735053427","0","",""
"1137","GALILEO FERRARIS - BRIN","40.8493079686247","14.2828961194877","0","",""
"1138","GALILEO FERRARIS - POSTE","40.8494512229373","14.281168009439","0","",""
"1139","GALILEO FERRARIS - QUESTURA","40.8496770720098","14.2864896756799","0","",""
"1140","GALILEO FERRARIS - GIANTURCO","40.8497003460544","14.2887997981799","0","",""
"1141","GALILEO FERRARIS  -POLIZIA DI STATO","40.8498602519781","14.2869770717929","0","",""
"1142","GALILEO FERRARIS - BRECCE A SANT'ERASMO","40.8490468508753","14.2914441905037","0","",""
"1143","FERRARIS","40.8463433776266","14.2996408220356","0","",""
"1144","GALILEO FERRARIS - GIANTURCO","40.8493396956325","14.2909431839713","0","",""
"1145","GARIBALDI","40.8523651728199","14.2719173143233","0","",""
"1146","GALILEO FERRARIS - MANIFATTURA TABACCHI","40.8483826813606","14.2942679185172","0","",""
"1147","ARENACCIA ","40.8597714755751","14.2707402417898","0","",""
"1148","FIRENZE","40.8541433718519","14.27078475846","0","",""
"1149","CORSO GARIBALDI ","40.8543462880329","14.2678260013592","0","",""
"1150","FONTANELLE - VICO SAN NICOLA","40.8589256547778","14.2436115122883","0","",""
