route_id,agency_id,route_short_name,route_long_name,route_type,route_url,route_color,route_text_color
"1188","ANM","C16","","3","http://www.anm.it","FFFFFF","000000"
"1523","ANM","201","","3","http://www.anm.it","FFFFFF","000000"
"2300","ANM","F4","FUNICOLARE MERGELLINA","7","http://www.anm.it","F89329","000000"
"2302","ANM","L6","","1","http://www.anm.it","179ED6","000000"
"2305","ANM","F1","FUNICOLARE CHIAIA","7","http://www.anm.it","F89329","000000"
"2315","ANM","F3","FUNICOLARE CENTRALE","7","http://www.anm.it","F89329","000000"
"2326","ANM","F2","FUNICOLARE MONTESANTO","7","http://www.anm.it","F89329","000000"
"2368","ANM","E6","","3","http://www.anm.it","FFFFFF","000000"
"2455","ANM","C36","","3","http://www.anm.it","FFFFFF","000000"
"2474","ANM","584","","3","http://www.anm.it","FFFFFF","000000"
"2647","ANM","C21","","3","http://www.anm.it","FFFFFF","000000"
"2735","ANM","C31","","3","http://www.anm.it","FFFFFF","000000"
"2762","ANM","C44","","3","http://www.anm.it","FFFFFF","000000"
"2906","ANM","C78","","3","http://www.anm.it","FFFFFF","000000"
"2930","ANM","C52","","3","http://www.anm.it","FFFFFF","000000"
"2993","ANM","132","","3","http://www.anm.it","FFFFFF","000000"
"3094","ANM","178","","3","http://www.anm.it","FFFFFF","000000"
"3155","ANM","144","","3","http://www.anm.it","FFFFFF","000000"
"3162","ANM","165","","3","http://www.anm.it","FFFFFF","000000"
